question_id,grounding_biomedclip,grounding_biomedclip_processed
1374,"[27.995281219482422, 27.995281219482422, 27.995281219482422, 27.995281219482422, 27.995281219482422, 27.995281219482422, 27.995281219482422, 27.995281219482422, 27.995281219482422, 28.045167922973633, 27.995281219482422, 27.995281219482422, 27.995281219482422, 27.995281219482422, 28.045167922973633, 28.33643341064453, 27.995281219482422, 28.33643341064453, 27.995281219482422, 27.995281219482422]","[27.995281219482422, 27.995281219482422, 27.995281219482422, 27.995281219482422, 27.995281219482422, 27.995281219482422, 27.995281219482422, 27.995281219482422, 27.995281219482422, 28.045167922973633, 27.995281219482422, 27.995281219482422, 27.995281219482422, 27.995281219482422, 28.045167922973633, 28.33643341064453, 27.995281219482422, 28.33643341064453, 27.995281219482422, 27.995281219482422]"
1375,"[17.62831687927246, 33.05731964111328, 17.62831687927246, 17.62831687927246, 16.958505630493164, 17.678119659423828, 16.958505630493164, 33.05731964111328, 17.62831687927246, 17.62831687927246, 25.268102645874023, 17.62831687927246, 17.62831687927246, 17.62831687927246, 17.62831687927246, 19.128511428833008, 17.84832763671875, 16.958505630493164, 17.62831687927246, 33.05731964111328]","[17.62831687927246, 33.05731964111328, 17.62831687927246, 17.62831687927246, 16.958505630493164, 17.678119659423828, 16.958505630493164, 33.05731964111328, 17.62831687927246, 17.62831687927246, 25.268102645874023, 17.62831687927246, 17.62831687927246, 17.62831687927246, 17.62831687927246, 19.128511428833008, 17.84832763671875, 16.958505630493164, 17.62831687927246, 33.05731964111328]"
1376,"[22.023780822753906, 22.08829116821289, 22.023780822753906, 22.023780822753906, 19.391517639160156, 22.023780822753906, 19.391517639160156, 22.023780822753906, 21.08545684814453, 22.023780822753906, 22.023780822753906, 22.023780822753906, 22.023780822753906, 22.023780822753906, 22.023780822753906, 22.023780822753906, 22.023780822753906, 22.023780822753906, 19.391517639160156, 22.023780822753906]","[22.023780822753906, 22.08829116821289, 22.023780822753906, 22.023780822753906, 19.391517639160156, 22.023780822753906, 19.391517639160156, 22.023780822753906, 21.08545684814453, 22.023780822753906, 22.023780822753906, 22.023780822753906, 22.023780822753906, 22.023780822753906, 22.023780822753906, 22.023780822753906, 22.023780822753906, 22.023780822753906, 19.391517639160156, 22.023780822753906]"
1378,"[11.712855339050293, 11.712855339050293, 32.487403869628906, 32.7845458984375, 11.712855339050293, 32.487403869628906, 32.487403869628906, 32.487403869628906, 32.487403869628906, 32.487403869628906, 32.487403869628906, 32.487403869628906, 32.87539291381836, 32.87539291381836, 32.487403869628906, 32.487403869628906, 32.487403869628906, 11.712855339050293, 32.487403869628906, 11.712855339050293]","[11.712855339050293, 11.712855339050293, 32.487403869628906, 32.7845458984375, 11.712855339050293, 32.487403869628906, 32.487403869628906, 32.487403869628906, 32.487403869628906, 32.487403869628906, 32.487403869628906, 32.487403869628906, 32.87539291381836, 32.87539291381836, 32.487403869628906, 32.487403869628906, 32.487403869628906, 11.712855339050293, 32.487403869628906, 11.712855339050293]"
1381,"[27.50351333618164, 27.50351333618164, 27.50351333618164, 27.50351333618164, 27.50351333618164, 27.50351333618164, 27.50351333618164, 27.50351333618164, 29.840805053710938, 27.50351333618164, 27.50351333618164, 29.840805053710938, 29.840805053710938, 27.50351333618164, 27.50351333618164, 27.50351333618164, 27.50351333618164, 27.50351333618164, 27.50351333618164, 27.50351333618164]","[27.50351333618164, 27.50351333618164, 27.50351333618164, 27.50351333618164, 27.50351333618164, 27.50351333618164, 27.50351333618164, 27.50351333618164, 29.840805053710938, 27.50351333618164, 27.50351333618164, 29.840805053710938, 29.840805053710938, 27.50351333618164, 27.50351333618164, 27.50351333618164, 27.50351333618164, 27.50351333618164, 27.50351333618164, 27.50351333618164]"
1387,"[12.579609870910645, 35.70552444458008, 35.75178527832031, 37.0342903137207, 24.39004898071289, 11.712855339050293, 37.81079864501953, 37.7451286315918, 24.39004898071289, 19.58001708984375, 28.526575088500977, 37.0342903137207, 35.21408462524414, 22.86098861694336, 33.131378173828125, 11.897621154785156, 34.68416213989258, 24.694379806518555, 37.0342903137207, 34.36323165893555]","[12.579609870910645, 35.70552444458008, 35.75178527832031, 37.0342903137207, 24.39004898071289, 11.712855339050293, 37.81079864501953, 37.7451286315918, 24.39004898071289, 19.58001708984375, 28.526575088500977, 37.0342903137207, 35.21408462524414, 22.86098861694336, 33.131378173828125, 11.897621154785156, 34.68416213989258, 24.694379806518555, 37.0342903137207, 34.36323165893555]"
1392,"[31.281282424926758, 30.772390365600586, 30.513994216918945, 27.41261863708496, 29.898021697998047, 29.898021697998047, 29.898021697998047, 30.772390365600586, 29.898021697998047, 30.041606903076172, 30.772390365600586, 29.898021697998047, 28.448287963867188, 30.772390365600586, 31.281282424926758, 29.898021697998047, 28.448287963867188, 30.932716369628906, 33.97352600097656, 30.041606903076172]","[31.281282424926758, 30.772390365600586, 30.513994216918945, 27.41261863708496, 29.898021697998047, 29.898021697998047, 29.898021697998047, 30.772390365600586, 29.898021697998047, 30.041606903076172, 30.772390365600586, 29.898021697998047, 28.448287963867188, 30.772390365600586, 31.281282424926758, 29.898021697998047, 28.448287963867188, 30.932716369628906, 33.97352600097656, 30.041606903076172]"
1393,"[30.13059425354004, 26.42732048034668, 28.48670768737793, 28.48670768737793, 30.13059425354004, 29.840805053710938, 26.42732048034668, 30.13059425354004, 26.22032928466797, 26.42732048034668, 30.13059425354004, 30.13059425354004, 30.13059425354004, 26.22032928466797, 26.22032928466797, 30.13059425354004, 30.13059425354004, 30.13059425354004, 29.840805053710938, 30.13059425354004]","[30.13059425354004, 26.42732048034668, 28.48670768737793, 28.48670768737793, 30.13059425354004, 29.840805053710938, 26.42732048034668, 30.13059425354004, 26.22032928466797, 26.42732048034668, 30.13059425354004, 30.13059425354004, 30.13059425354004, 26.22032928466797, 26.22032928466797, 30.13059425354004, 30.13059425354004, 30.13059425354004, 29.840805053710938, 30.13059425354004]"
1394,"[23.572860717773438, 19.869850158691406, 23.572860717773438, 23.572860717773438, 23.572860717773438, 23.572860717773438, 23.572860717773438, 23.572860717773438, 23.572860717773438, 23.572860717773438, 23.572860717773438, 20.88719367980957, 20.56066131591797, 23.572860717773438, 23.572860717773438, 23.572860717773438, 23.572860717773438, 23.572860717773438, 23.572860717773438, 23.572860717773438]","[23.572860717773438, 19.869850158691406, 23.572860717773438, 23.572860717773438, 23.572860717773438, 23.572860717773438, 23.572860717773438, 23.572860717773438, 23.572860717773438, 23.572860717773438, 23.572860717773438, 20.88719367980957, 20.56066131591797, 23.572860717773438, 23.572860717773438, 23.572860717773438, 23.572860717773438, 23.572860717773438, 23.572860717773438, 23.572860717773438]"
1395,"[20.904823303222656, 22.060958862304688, 20.609418869018555, 20.904823303222656, 20.067729949951172, 22.060958862304688, 23.99437713623047, 25.867382049560547, 19.240394592285156, 20.365449905395508, 22.76528549194336, 19.739412307739258, 20.904823303222656, 20.904823303222656, 21.812152862548828, 21.475618362426758, 22.060958862304688, 20.43577003479004, 20.365449905395508, 20.904823303222656]","[20.904823303222656, 22.060958862304688, 20.609418869018555, 20.904823303222656, 20.067729949951172, 22.060958862304688, 23.99437713623047, 25.867382049560547, 19.240394592285156, 20.365449905395508, 22.76528549194336, 19.739412307739258, 20.904823303222656, 20.904823303222656, 21.812152862548828, 21.475618362426758, 22.060958862304688, 20.43577003479004, 20.365449905395508, 20.904823303222656]"
1397,"[31.588180541992188, 16.8140811920166, 31.282453536987305, 31.282453536987305, 31.282453536987305, 31.282453536987305, 31.282453536987305, 16.8140811920166, 16.8140811920166, 31.588180541992188, 16.8140811920166, 16.8140811920166, 31.048837661743164, 31.282453536987305, 16.8140811920166, 16.8140811920166, 16.8140811920166, 31.282453536987305, 16.8140811920166, 31.588180541992188]","[31.588180541992188, 16.8140811920166, 31.282453536987305, 31.282453536987305, 31.282453536987305, 31.282453536987305, 31.282453536987305, 16.8140811920166, 16.8140811920166, 31.588180541992188, 16.8140811920166, 16.8140811920166, 31.048837661743164, 31.282453536987305, 16.8140811920166, 16.8140811920166, 16.8140811920166, 31.282453536987305, 16.8140811920166, 31.588180541992188]"
1399,"[22.117088317871094, 22.117088317871094, 22.117088317871094, 22.117088317871094, 22.117088317871094, 22.117088317871094, 22.117088317871094, 22.117088317871094, 22.117088317871094, 22.117088317871094, 22.117088317871094, 22.117088317871094, 22.117088317871094, 20.962678909301758, 22.117088317871094, 22.117088317871094, 22.117088317871094, 22.117088317871094, 22.117088317871094, 22.117088317871094]","[22.117088317871094, 22.117088317871094, 22.117088317871094, 22.117088317871094, 22.117088317871094, 22.117088317871094, 22.117088317871094, 22.117088317871094, 22.117088317871094, 22.117088317871094, 22.117088317871094, 22.117088317871094, 22.117088317871094, 20.962678909301758, 22.117088317871094, 22.117088317871094, 22.117088317871094, 22.117088317871094, 22.117088317871094, 22.117088317871094]"
1405,"[32.956722259521484, 25.651185989379883, 25.651185989379883, 25.651185989379883, 34.550045013427734, 27.401729583740234, 34.550045013427734, 34.550045013427734, 34.550045013427734, 25.651185989379883, 34.550045013427734, 27.870075225830078, 34.550045013427734, 27.870075225830078, 27.401729583740234, 27.401729583740234, 34.550045013427734, 34.550045013427734, 32.083168029785156, 26.624736785888672]","[32.956722259521484, 25.651185989379883, 25.651185989379883, 25.651185989379883, 34.550045013427734, 27.401729583740234, 34.550045013427734, 34.550045013427734, 34.550045013427734, 25.651185989379883, 34.550045013427734, 27.870075225830078, 34.550045013427734, 27.870075225830078, 27.401729583740234, 27.401729583740234, 34.550045013427734, 34.550045013427734, 32.083168029785156, 26.624736785888672]"
1406,"[34.550045013427734, 31.345333099365234, 31.345333099365234, 31.345333099365234, 34.550045013427734, 26.00813865661621, 31.345333099365234, 34.550045013427734, 34.550045013427734, 34.550045013427734, 33.199615478515625, 34.550045013427734, 31.345333099365234, 34.550045013427734, 34.550045013427734, 31.605087280273438, 34.550045013427734, 31.345333099365234, 34.550045013427734, 34.550045013427734]","[34.550045013427734, 31.345333099365234, 31.345333099365234, 31.345333099365234, 34.550045013427734, 26.00813865661621, 31.345333099365234, 34.550045013427734, 34.550045013427734, 34.550045013427734, 33.199615478515625, 34.550045013427734, 31.345333099365234, 34.550045013427734, 34.550045013427734, 31.605087280273438, 34.550045013427734, 31.345333099365234, 34.550045013427734, 34.550045013427734]"
1407,"[23.016454696655273, 22.950851440429688, 22.950851440429688, 22.950851440429688, 20.962678909301758, 20.962678909301758, 22.950851440429688, 20.962678909301758, 22.950851440429688, 20.962678909301758, 23.016454696655273, 22.950851440429688, 22.950851440429688, 22.950851440429688, 23.016454696655273, 20.962678909301758, 22.950851440429688, 20.962678909301758, 23.016454696655273, 20.962678909301758]","[23.016454696655273, 22.950851440429688, 22.950851440429688, 22.950851440429688, 20.962678909301758, 20.962678909301758, 22.950851440429688, 20.962678909301758, 22.950851440429688, 20.962678909301758, 23.016454696655273, 22.950851440429688, 22.950851440429688, 22.950851440429688, 23.016454696655273, 20.962678909301758, 22.950851440429688, 20.962678909301758, 23.016454696655273, 20.962678909301758]"
1408,"[18.784887313842773, 17.981464385986328, 18.784887313842773, 20.20537567138672, 20.20537567138672, 17.981464385986328, 17.981464385986328, 23.09151840209961, 24.433340072631836, 17.981464385986328, 17.981464385986328, 23.09151840209961, 24.433340072631836, 20.20537567138672, 20.20537567138672, 17.981464385986328, 18.784887313842773, 18.784887313842773, 24.433340072631836, 18.784887313842773]","[18.784887313842773, 17.981464385986328, 18.784887313842773, 20.20537567138672, 20.20537567138672, 17.981464385986328, 17.981464385986328, 23.09151840209961, 24.433340072631836, 17.981464385986328, 17.981464385986328, 23.09151840209961, 24.433340072631836, 20.20537567138672, 20.20537567138672, 17.981464385986328, 18.784887313842773, 18.784887313842773, 24.433340072631836, 18.784887313842773]"
1409,"[26.190593719482422, 30.43270492553711, 30.017534255981445, 26.190593719482422, 34.40530014038086, 31.008947372436523, 26.190593719482422, 26.190593719482422, 29.64190101623535, 26.190593719482422, 26.190593719482422, 27.762134552001953, 31.402385711669922, 26.190593719482422, 26.190593719482422, 26.190593719482422, 25.291444778442383, 26.190593719482422, 26.190593719482422, 25.57602310180664]","[26.190593719482422, 30.43270492553711, 30.017534255981445, 26.190593719482422, 34.40530014038086, 31.008947372436523, 26.190593719482422, 26.190593719482422, 29.64190101623535, 26.190593719482422, 26.190593719482422, 27.762134552001953, 31.402385711669922, 26.190593719482422, 26.190593719482422, 26.190593719482422, 25.291444778442383, 26.190593719482422, 26.190593719482422, 25.57602310180664]"
1410,"[18.196331024169922, 31.946264266967773, 31.946264266967773, 31.946264266967773, 18.196331024169922, 18.196331024169922, 18.196331024169922, 32.575443267822266, 31.946264266967773, 18.196331024169922, 18.196331024169922, 18.196331024169922, 31.946264266967773, 32.575443267822266, 31.946264266967773, 32.575443267822266, 32.575443267822266, 18.196331024169922, 32.575443267822266, 18.196331024169922]","[18.196331024169922, 31.946264266967773, 31.946264266967773, 31.946264266967773, 18.196331024169922, 18.196331024169922, 18.196331024169922, 32.575443267822266, 31.946264266967773, 18.196331024169922, 18.196331024169922, 18.196331024169922, 31.946264266967773, 32.575443267822266, 31.946264266967773, 32.575443267822266, 32.575443267822266, 18.196331024169922, 32.575443267822266, 18.196331024169922]"
1412,"[20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242]","[20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242, 20.991178512573242]"
1418,"[31.509366989135742, 34.96380615234375, 27.805992126464844, 31.466243743896484, 33.42500305175781, 27.805992126464844, 34.96380615234375, 27.805992126464844, 27.805992126464844, 33.42500305175781, 27.805992126464844, 31.509366989135742, 31.509366989135742, 33.42500305175781, 27.805992126464844, 29.425762176513672, 31.509366989135742, 34.96380615234375, 27.805992126464844, 28.797454833984375]","[31.509366989135742, 34.96380615234375, 27.805992126464844, 31.466243743896484, 33.42500305175781, 27.805992126464844, 34.96380615234375, 27.805992126464844, 27.805992126464844, 33.42500305175781, 27.805992126464844, 31.509366989135742, 31.509366989135742, 33.42500305175781, 27.805992126464844, 29.425762176513672, 31.509366989135742, 34.96380615234375, 27.805992126464844, 28.797454833984375]"
1419,"[21.893115997314453, 21.070833206176758, 21.893115997314453, 19.85295867919922, 19.85295867919922, 21.070833206176758, 21.070833206176758, 21.893115997314453, 21.893115997314453, 21.893115997314453, 22.101905822753906, 19.85295867919922, 21.893115997314453, 19.85295867919922, 19.85295867919922, 21.893115997314453, 21.893115997314453, 19.85295867919922, 21.893115997314453, 21.893115997314453]","[21.893115997314453, 21.070833206176758, 21.893115997314453, 19.85295867919922, 19.85295867919922, 21.070833206176758, 21.070833206176758, 21.893115997314453, 21.893115997314453, 21.893115997314453, 22.101905822753906, 19.85295867919922, 21.893115997314453, 19.85295867919922, 19.85295867919922, 21.893115997314453, 21.893115997314453, 19.85295867919922, 21.893115997314453, 21.893115997314453]"
1420,"[20.71017837524414, 18.665340423583984, 18.665340423583984, 18.665340423583984, 20.71017837524414, 18.665340423583984, 18.89261245727539, 18.665340423583984, 20.71017837524414, 18.89261245727539, 20.71017837524414, 25.133134841918945, 18.89261245727539, 18.665340423583984, 18.89261245727539, 20.71017837524414, 18.665340423583984, 18.665340423583984, 25.133134841918945, 18.665340423583984]","[20.71017837524414, 18.665340423583984, 18.665340423583984, 18.665340423583984, 20.71017837524414, 18.665340423583984, 18.89261245727539, 18.665340423583984, 20.71017837524414, 18.89261245727539, 20.71017837524414, 25.133134841918945, 18.89261245727539, 18.665340423583984, 18.89261245727539, 20.71017837524414, 18.665340423583984, 18.665340423583984, 25.133134841918945, 18.665340423583984]"
1421,"[28.427330017089844, 28.7502384185791, 24.63525390625, 26.658132553100586, 30.02910041809082, 24.63525390625, 24.63525390625, 24.63525390625, 24.63525390625, 29.486663818359375, 26.200836181640625, 24.63525390625, 28.072376251220703, 24.63525390625, 30.02910041809082, 24.63525390625, 24.63525390625, 27.973512649536133, 28.7502384185791, 30.02910041809082]","[28.427330017089844, 28.7502384185791, 24.63525390625, 26.658132553100586, 30.02910041809082, 24.63525390625, 24.63525390625, 24.63525390625, 24.63525390625, 29.486663818359375, 26.200836181640625, 24.63525390625, 28.072376251220703, 24.63525390625, 30.02910041809082, 24.63525390625, 24.63525390625, 27.973512649536133, 28.7502384185791, 30.02910041809082]"
1422,"[33.55016326904297, 32.038490295410156, 32.038490295410156, 33.55016326904297, 33.55016326904297, 33.55016326904297, 12.166711807250977, 33.55016326904297, 33.55016326904297, 33.55016326904297, 33.55016326904297, 33.55016326904297, 33.55016326904297, 33.55016326904297, 33.55016326904297, 33.55016326904297, 32.97167205810547, 33.55016326904297, 33.55016326904297, 33.55016326904297]","[33.55016326904297, 32.038490295410156, 32.038490295410156, 33.55016326904297, 33.55016326904297, 33.55016326904297, 12.166711807250977, 33.55016326904297, 33.55016326904297, 33.55016326904297, 33.55016326904297, 33.55016326904297, 33.55016326904297, 33.55016326904297, 33.55016326904297, 33.55016326904297, 32.97167205810547, 33.55016326904297, 33.55016326904297, 33.55016326904297]"
1426,"[27.779499053955078, 27.779499053955078, 27.779499053955078, 27.779499053955078, 23.639751434326172, 23.639751434326172, 27.779499053955078, 27.779499053955078, 27.779499053955078, 27.779499053955078, 28.03123664855957, 27.779499053955078, 27.779499053955078, 27.779499053955078, 23.639751434326172, 27.779499053955078, 23.639751434326172, 23.639751434326172, 27.779499053955078, 23.639751434326172]","[27.779499053955078, 27.779499053955078, 27.779499053955078, 27.779499053955078, 23.639751434326172, 23.639751434326172, 27.779499053955078, 27.779499053955078, 27.779499053955078, 27.779499053955078, 28.03123664855957, 27.779499053955078, 27.779499053955078, 27.779499053955078, 23.639751434326172, 27.779499053955078, 23.639751434326172, 23.639751434326172, 27.779499053955078, 23.639751434326172]"
1435,"[28.710702896118164, 28.710702896118164, 28.7066650390625, 28.710702896118164, 28.580745697021484, 28.7066650390625, 23.5864200592041, 29.784069061279297, 28.261249542236328, 28.710702896118164, 29.784069061279297, 29.784069061279297, 29.784069061279297, 23.639751434326172, 23.639751434326172, 29.784069061279297, 23.639751434326172, 29.784069061279297, 28.710702896118164, 29.784069061279297]","[28.710702896118164, 28.710702896118164, 28.7066650390625, 28.710702896118164, 28.580745697021484, 28.7066650390625, 23.5864200592041, 29.784069061279297, 28.261249542236328, 28.710702896118164, 29.784069061279297, 29.784069061279297, 29.784069061279297, 23.639751434326172, 23.639751434326172, 29.784069061279297, 23.639751434326172, 29.784069061279297, 28.710702896118164, 29.784069061279297]"
1436,"[29.928363800048828, 30.202232360839844, 29.928363800048828, 28.774566650390625, 28.774566650390625, 28.774566650390625, 29.928363800048828, 28.774566650390625, 30.436077117919922, 29.928363800048828, 27.393339157104492, 29.928363800048828, 28.774566650390625, 29.928363800048828, 28.774566650390625, 28.774566650390625, 28.774566650390625, 29.928363800048828, 27.393339157104492, 28.774566650390625]","[29.928363800048828, 30.202232360839844, 29.928363800048828, 28.774566650390625, 28.774566650390625, 28.774566650390625, 29.928363800048828, 28.774566650390625, 30.436077117919922, 29.928363800048828, 27.393339157104492, 29.928363800048828, 28.774566650390625, 29.928363800048828, 28.774566650390625, 28.774566650390625, 28.774566650390625, 29.928363800048828, 27.393339157104492, 28.774566650390625]"
1437,"[25.55569076538086, 23.639751434326172, 23.639751434326172, 23.639751434326172, 23.5864200592041, 26.141368865966797, 23.639751434326172, 26.141368865966797, 23.639751434326172, 25.55569076538086, 26.141368865966797, 25.55569076538086, 26.141368865966797, 25.55569076538086, 25.55569076538086, 25.55569076538086, 25.55569076538086, 26.141368865966797, 26.141368865966797, 26.141368865966797]","[25.55569076538086, 23.639751434326172, 23.639751434326172, 23.639751434326172, 23.5864200592041, 26.141368865966797, 23.639751434326172, 26.141368865966797, 23.639751434326172, 25.55569076538086, 26.141368865966797, 25.55569076538086, 26.141368865966797, 25.55569076538086, 25.55569076538086, 25.55569076538086, 25.55569076538086, 26.141368865966797, 26.141368865966797, 26.141368865966797]"
1438,"[21.78404426574707, 19.946653366088867, 21.78404426574707, 21.78404426574707, 21.306133270263672, 21.78404426574707, 19.946653366088867, 23.217336654663086, 23.217336654663086, 21.306133270263672, 21.78404426574707, 19.946653366088867, 23.217336654663086, 21.306133270263672, 21.306133270263672, 21.306133270263672, 21.78404426574707, 21.306133270263672, 19.946653366088867, 21.78404426574707]","[21.78404426574707, 19.946653366088867, 21.78404426574707, 21.78404426574707, 21.306133270263672, 21.78404426574707, 19.946653366088867, 23.217336654663086, 23.217336654663086, 21.306133270263672, 21.78404426574707, 19.946653366088867, 23.217336654663086, 21.306133270263672, 21.306133270263672, 21.306133270263672, 21.78404426574707, 21.306133270263672, 19.946653366088867, 21.78404426574707]"
1439,"[33.76508331298828, 33.76508331298828, 33.060935974121094, 33.76508331298828, 33.060935974121094, 33.76508331298828, 33.76508331298828, 33.76508331298828, 13.953226089477539, 33.76508331298828, 33.76508331298828, 33.76508331298828, 33.76508331298828, 13.953226089477539, 33.76508331298828, 33.34046173095703, 33.76508331298828, 33.060935974121094, 33.76508331298828, 33.76508331298828]","[33.76508331298828, 33.76508331298828, 33.060935974121094, 33.76508331298828, 33.060935974121094, 33.76508331298828, 33.76508331298828, 33.76508331298828, 13.953226089477539, 33.76508331298828, 33.76508331298828, 33.76508331298828, 33.76508331298828, 13.953226089477539, 33.76508331298828, 33.34046173095703, 33.76508331298828, 33.060935974121094, 33.76508331298828, 33.76508331298828]"
1443,"[29.159622192382812, 29.159622192382812, 29.159622192382812, 29.684797286987305, 29.159622192382812, 29.684797286987305, 29.159622192382812, 29.159622192382812, 29.159622192382812, 29.159622192382812, 29.159622192382812, 29.159622192382812, 29.684797286987305, 29.159622192382812, 29.159622192382812, 29.159622192382812, 30.41695785522461, 29.684797286987305, 29.159622192382812, 29.159622192382812]","[29.159622192382812, 29.159622192382812, 29.159622192382812, 29.684797286987305, 29.159622192382812, 29.684797286987305, 29.159622192382812, 29.159622192382812, 29.159622192382812, 29.159622192382812, 29.159622192382812, 29.159622192382812, 29.684797286987305, 29.159622192382812, 29.159622192382812, 29.159622192382812, 30.41695785522461, 29.684797286987305, 29.159622192382812, 29.159622192382812]"
1450,"[18.52975082397461, 26.669761657714844, 12.586223602294922, 15.7437105178833, 16.75470542907715, 33.78135681152344, 14.223699569702148, 11.813949584960938, 12.70576000213623, 14.84675407409668, 17.233722686767578, 15.296072959899902, 26.919666290283203, 33.505027770996094, 29.163921356201172, 11.334455490112305, 16.214008331298828, 16.369903564453125, 7.413120269775391, 21.53842544555664]","[18.52975082397461, 26.669761657714844, 12.586223602294922, 15.7437105178833, 16.75470542907715, 33.78135681152344, 14.223699569702148, 11.813949584960938, 12.70576000213623, 14.84675407409668, 17.233722686767578, 15.296072959899902, 26.919666290283203, 33.505027770996094, 29.163921356201172, 11.334455490112305, 16.214008331298828, 16.369903564453125, 7.413120269775391, 21.53842544555664]"
1455,"[29.684797286987305, 28.728939056396484, 29.684797286987305, 30.41695785522461, 29.686580657958984, 29.684797286987305, 27.85928726196289, 29.686580657958984, 29.684797286987305, 29.684797286987305, 30.41695785522461, 29.684797286987305, 28.28962516784668, 30.41695785522461, 28.28962516784668, 28.77539825439453, 29.684797286987305, 29.684797286987305, 28.77539825439453, 29.684797286987305]","[29.684797286987305, 28.728939056396484, 29.684797286987305, 30.41695785522461, 29.686580657958984, 29.684797286987305, 27.85928726196289, 29.686580657958984, 29.684797286987305, 29.684797286987305, 30.41695785522461, 29.684797286987305, 28.28962516784668, 30.41695785522461, 28.28962516784668, 28.77539825439453, 29.684797286987305, 29.684797286987305, 28.77539825439453, 29.684797286987305]"
1456,"[29.810487747192383, 30.92572021484375, 29.810487747192383, 29.810487747192383, 30.92572021484375, 32.26984405517578, 30.92572021484375, 29.6061954498291, 30.92572021484375, 30.100555419921875, 30.92572021484375, 29.810487747192383, 29.810487747192383, 30.92572021484375, 31.468223571777344, 30.92572021484375, 30.92572021484375, 30.92572021484375, 29.6061954498291, 30.92572021484375]","[29.810487747192383, 30.92572021484375, 29.810487747192383, 29.810487747192383, 30.92572021484375, 32.26984405517578, 30.92572021484375, 29.6061954498291, 30.92572021484375, 30.100555419921875, 30.92572021484375, 29.810487747192383, 29.810487747192383, 30.92572021484375, 31.468223571777344, 30.92572021484375, 30.92572021484375, 30.92572021484375, 29.6061954498291, 30.92572021484375]"
1457,"[26.74068832397461, 29.684797286987305, 26.74068832397461, 29.684797286987305, 26.74068832397461, 26.973129272460938, 29.684797286987305, 26.973129272460938, 29.684797286987305, 26.973129272460938, 26.74068832397461, 29.684797286987305, 26.973129272460938, 26.973129272460938, 29.684797286987305, 26.74068832397461, 29.684797286987305, 26.973129272460938, 29.684797286987305, 29.684797286987305]","[26.74068832397461, 29.684797286987305, 26.74068832397461, 29.684797286987305, 26.74068832397461, 26.973129272460938, 29.684797286987305, 26.973129272460938, 29.684797286987305, 26.973129272460938, 26.74068832397461, 29.684797286987305, 26.973129272460938, 26.973129272460938, 29.684797286987305, 26.74068832397461, 29.684797286987305, 26.973129272460938, 29.684797286987305, 29.684797286987305]"
1458,"[19.849899291992188, 19.849899291992188, 20.426488876342773, 19.849899291992188, 20.426488876342773, 25.46625328063965, 20.426488876342773, 19.849899291992188, 19.849899291992188, 20.426488876342773, 19.849899291992188, 20.426488876342773, 19.849899291992188, 25.46625328063965, 25.46625328063965, 19.849899291992188, 25.46625328063965, 22.74494171142578, 22.74494171142578, 22.74494171142578]","[19.849899291992188, 19.849899291992188, 20.426488876342773, 19.849899291992188, 20.426488876342773, 25.46625328063965, 20.426488876342773, 19.849899291992188, 19.849899291992188, 20.426488876342773, 19.849899291992188, 20.426488876342773, 19.849899291992188, 25.46625328063965, 25.46625328063965, 19.849899291992188, 25.46625328063965, 22.74494171142578, 22.74494171142578, 22.74494171142578]"
1459,"[35.417755126953125, 23.19624137878418, 23.19624137878418, 35.417755126953125, 23.19624137878418, 23.19624137878418, 23.19624137878418, 23.19624137878418, 23.19624137878418, 35.417755126953125, 35.417755126953125, 23.19624137878418, 23.19624137878418, 23.19624137878418, 35.417755126953125, 23.19624137878418, 23.19624137878418, 23.19624137878418, 23.19624137878418, 23.19624137878418]","[35.417755126953125, 23.19624137878418, 23.19624137878418, 35.417755126953125, 23.19624137878418, 23.19624137878418, 23.19624137878418, 23.19624137878418, 23.19624137878418, 35.417755126953125, 35.417755126953125, 23.19624137878418, 23.19624137878418, 23.19624137878418, 35.417755126953125, 23.19624137878418, 23.19624137878418, 23.19624137878418, 23.19624137878418, 23.19624137878418]"
1461,"[18.14774513244629, 21.97873306274414, 18.14774513244629, 32.219398498535156, 18.14774513244629, 18.14774513244629, 28.81255340576172, 21.97873306274414, 35.09385681152344, 18.14774513244629, 22.970796585083008, 18.14774513244629, 33.62986755371094, 18.14774513244629, 26.33319854736328, 18.14774513244629, 32.219398498535156, 21.97873306274414, 18.14774513244629, 28.81255340576172]","[18.14774513244629, 21.97873306274414, 18.14774513244629, 32.219398498535156, 18.14774513244629, 18.14774513244629, 28.81255340576172, 21.97873306274414, 35.09385681152344, 18.14774513244629, 22.970796585083008, 18.14774513244629, 33.62986755371094, 18.14774513244629, 26.33319854736328, 18.14774513244629, 32.219398498535156, 21.97873306274414, 18.14774513244629, 28.81255340576172]"
